name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ho Chi Minh City,2023-08-11T00:00:00,28,35.6,28,100,0,0,,0,0,19.8,20.5,250,1010,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T01:00:00,28,34.5,26.8,93.13,0,0,,0,0,20.2,18.9,252,1009.1,46.1,11,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-08-11T02:00:00,28,34.5,27,94.32,0,0,,0,0,21.6,20.5,250,1009,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T03:00:00,27,31.8,27,100,0,0,,0,0,21.2,16.6,250,1009,27,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T04:00:00,27,31.6,26.9,99.54,0,0,,0,0,20.5,12,257,1009,24.4,11,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-08-11T05:00:00,27,31.8,27,100,0,0,,0,0,18.7,11.2,250,1009,27,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T06:00:00,27,31.8,27,100,0,0,,0,0,17.3,11.2,250,1009,27,10,2.5,0,0,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T07:00:00,27.9,34.2,26.9,94.15,0,0,,0,0,18.4,15.6,252,1009.1,48,11,111.9,0.4,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-08-11T08:00:00,30,40.4,28,89.07,0,0,,0,0,27,22.3,270,1010,50,10,321.5,1.2,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T09:00:00,31,40.6,27,79.33,0.1,100,rain,0,0,34.9,24.1,280,1010,50,10,538,1.9,5,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T10:00:00,31.9,41.8,26.8,74.5,0,0,,0,0,35.3,19.9,279,1010,86,11,639.2,2.3,6,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-08-11T11:00:00,32,40.6,26,70.66,0.1,100,rain,0,0,34.6,14.8,290,1009,88.8,10,726.2,2.6,7,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T12:00:00,34,41.9,25,59.5,0.2,100,rain,0,0,32.8,18.4,280,1008,88.8,10,780.6,2.8,8,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T13:00:00,34.9,43.2,25,56.69,0,0,,0,0,33.1,15.6,297,1007,85,11,761.5,2.7,8,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-08-11T14:00:00,35,44.9,26,59.73,0,0,,0,0,35.6,20.5,250,1006,88.8,10,649.8,2.3,6,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T15:00:00,35,44.9,26,59.73,0.1,100,rain,0,0,33.8,14.8,270,1006,88.8,10,595.6,2.1,6,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
Ho Chi Minh City,2023-08-11T16:00:00,34,41.9,24.9,58.92,0,0,,0,0,31,20.8,270,1005.1,50,11,367.2,1.3,4,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-08-11T17:00:00,33,40.6,25,62.93,0.1,100,rain,0,0,22.7,22.3,260,1006,27,10,225.1,0.8,2,,"Rain, Partially cloudy",rain,"48900099999,VVTS"
